MCU Leading Cast,,
movie_name,actor_name,character_name
Avengers: Infinity War,Chris Hemsworth,Thor
Avengers: Infinity War,Mark Ruffalo,Bruce Banner/Hulk
Avengers: Infinity War,Chris Evans,Steve Rogers
Avengers: Infinity War,Scarlett Johansson,Natasha Romanoff/Black Widow
Avengers: Infinity War,Benedict Cumberbatch,Stephen Strange
Avengers: Infinity War,Don Cheadle,James Rhodes/War Machine
Avengers: Infinity War,Tom Holland,Peter Parker/Spider-Man
Avengers: Infinity War,Chadwick Boseman,Black Panther
Avengers: Infinity War,Paul Bettany,Vision
Avengers: Infinity War,Elizabeth Olsen,Wanda Maximoff/Scarlet Witch
Avengers: Infinity War,Sebastian Stan,Bucky Barnes/Winter Soldier
Avengers: Infinity War,Danai Gurira,Okoye
Avengers: Infinity War,Letitia Wright,Shuri
Avengers: Infinity War,Dave Bautista,Drax the Destroyer
Avengers: Infinity War,Zoe Saldana,Gamora
Avengers: Infinity War,Josh Brolin,Thanos
Avengers: Infinity War,Chris Pratt,Peter Quill/Star-Lord
Avengers: Infinity War,Benedict Wong,Wong
Avengers: Infinity War,Pom Klementieff,Mantis
Avengers: Infinity War,Karen Gillan,Nebula
Avengers: Infinity War,Vin Diesel,Groot
Avengers: Infinity War,Bradley Cooper,Rocket Raccoon
Avengers: Infinity War,Anthony Mackie,Sam Wilson/Falcon
Avengers: Infinity War,Tom Hiddleston,Loki
Avengers: Infinity War,Idris Elba,Heimdall
Avengers: Infinity War,Peter Dinklage,Eitri
Avengers: Infinity War,Gwyneth Paltrow,Pepper Potts
Avengers: Infinity War,Benicio del Toro,Taneleer Tivan/The Collector
Black Panther,Chadwick Boseman,Black Panther
Black Panther,Michael B. Jordan,Erik Killmonger
Black Panther,Lupita Nyongo,Nakia
Black Panther,Danai Gurira,Okoye
Black Panther,Martin Freeman,Everett K. Ross
Black Panther,Angela Bassett,Ramonda
Black Panther,Forest Whitaker,Zuri
Black Panther,Andy Serkis,Ulysses Klaue
Black Panther,Daniel Kaluuya,WKabi
Black Panther,Letitia Wright,Shuri
Thor: Ragnarok,Chris Hemsworth,Thor
Thor: Ragnarok,Tom Hiddleston,Loki
Thor: Ragnarok,Cate Blanchett,Hela
Thor: Ragnarok,Idris Elba,Heimdall
Thor: Ragnarok,Jeff Goldblum,Grandmaster
Thor: Ragnarok,Tessa Thompson,Valkyrie
Thor: Ragnarok,Karl Urban,Skurge
Thor: Ragnarok,Mark Ruffalo,Bruce Banner/Hulk
Thor: Ragnarok,Anthony Hopkins,Odin
Spider-Man: Homecoming,Tom Holland,Peter Parker/Spider-Man
Spider-Man: Homecoming,Michael Keaton,Adrian Toomes/Vulture
Spider-Man: Homecoming,Zendaya,Michelle Jones/MJ
Spider-Man: Homecoming,Jon Favreau,Happy Hogan
Spider-Man: Homecoming,Marisa Tomei,Aunt May
Spider-Man: Homecoming,Robert Downey Jr.,Tony Stark/Iron Man
Spider-Man: Homecoming,Jacob Batalon,Ned Leeds
Guardians of the Galaxy Vol 2,Chris Pratt,Peter Quill/Star-Lord
Guardians of the Galaxy Vol 2,Zoe Saldana,Gamora
Guardians of the Galaxy Vol 2,Dave Bautista,Drax the Destroyer
Guardians of the Galaxy Vol 2,Vin Diesel,Baby Groot
Guardians of the Galaxy Vol 2,Bradley Cooper,Rocket
Guardians of the Galaxy Vol 2,Michael Rooker,Yondu Udonta
Guardians of the Galaxy Vol 2,Kurt Russell,Ego
Guardians of the Galaxy Vol 2,Karen Gillan,Nebula
Guardians of the Galaxy Vol 2,Pom Klementieff,Mantis
Guardians of the Galaxy Vol 2,Elizabeth Debicki,Ayesha
Doctor Strange,Benedict Cumberbatch,Doctor Stephen Strange
Doctor Strange,Chiwetel Ejiofor,Baron Mordo
Doctor Strange,Rachel McAdams,Dr. Christine Palmer
Doctor Strange,Benedict Wong,Master Wong
Doctor Strange,Mads Mikkelsen,Kaecilius
Doctor Strange,Tilda Swinton,The Ancient One
Captain America: Civil War,Chris Evans,Steve Rogers/Captain America
Captain America: Civil War,Robert Downey Jr.,Tony Stark/Iron Man
Captain America: Civil War,Scarlett Johansson,Natasha Romanoff/Black Widow
Captain America: Civil War,Sebastian Stan,Bucky Barnes/Winter Soldier
Captain America: Civil War,Jeremy Renner,Clint Barton/Hawkeye
Captain America: Civil War,Don Cheadle,James Rhodes/War Machine
Captain America: Civil War,Anthony Mackie,Sam Wilson/Falcon
Captain America: Civil War,Paul Bettany,Vision
Captain America: Civil War,Elizabeth Olsen,Wanda Maximoff/Scarlet Witch
Captain America: Civil War,Chadwick Boseman,Black Panther
Captain America: Civil War,Daniel Bruhl,Baron Zemo
Captain America: Civil War,Paul Rudd,Scott Lang/Ant-Man
Captain America: Civil War,Emily VanCamp,Agent Sharon Carter
Captain America: Civil War,Tom Holland,Peter Parker/Spider-Man
Captain America: Civil War,Frank Grillo,Brock Rumlow
Captain America: Civil War,William Hurt,General Thaddeus Ross
Ant-Man,Paul Rudd,Scott Lang/Ant-Man
Ant-Man,Evangeline Lilly,Hope Van Dyne
Ant-Man,Corey Stoll,Darren Cross/Yellowjacket
Ant-Man,Bobby Cannavale,Paxton
Ant-Man,Michael Pena,Luis
Ant-Man,Michael Douglas,Dr Hank Pym/Ant-Man
Avengers: Age of Ultron,"Robert Downey, Jr.",Tony Stark/Iron Man
Avengers: Age of Ultron,Chris Hemsworth,Thor
Avengers: Age of Ultron,Mark Ruffalo,Bruce Banner / The Hulk
Avengers: Age of Ultron,Chris Evans,Steve Rogers / Captain America
Avengers: Age of Ultron,Scarlett Johansson,Natasha Romanoff/Black Widow
Avengers: Age of Ultron,Jeremy Renner,Clint Barton/Hawkeye
Avengers: Age of Ultron,Samuel L. Jackson,Nick Fury
Avengers: Age of Ultron,Aaron Taylor-Johnson,Quicksilver
Avengers: Age of Ultron,Elizabeth Olsen,Scarlet Witch
Avengers: Age of Ultron,James Spader,Ultron
Avengers: Age of Ultron,Don Cheadle,James Rhodes/War Machine
Avengers: Age of Ultron,Paul Bettany,The Vision
Avengers: Age of Ultron,Cobie Smulders,Maria Hill
Avengers: Age of Ultron,Anthony Mackie,Sam Wilson/The Falcon
Avengers: Age of Ultron,Hayley Atwell,Peggy Carter
Avengers: Age of Ultron,Idris Elba,Heimdall
Avengers: Age of Ultron,Stellan Skarsgard,Erik Selvig
Guardians of the Galaxy,Chris Pratt,Peter Quill
Guardians of the Galaxy,Zoe Saldana,Gamora
Guardians of the Galaxy,Dave Bautista,Drax the Destroyer
Guardians of the Galaxy,Vin Diesel,Groot
Guardians of the Galaxy,Bradley Cooper,Rocket
Guardians of the Galaxy,Lee Pace,Ronan
Guardians of the Galaxy,Michael Rooker,Yondu Udonta
Guardians of the Galaxy,Karen Gillan,Nebula
Guardians of the Galaxy,Djimon Hounsou,Korath
Guardians of the Galaxy,John C. Reilly,Corpsman Dey
Guardians of the Galaxy,Glenn Close,Nova Prime
Guardians of the Galaxy,Benicio del Toro,The Collector
Captain America: The Winter Soldier ,Chris Evans,Captain America/Steve Rogers
Captain America: The Winter Soldier ,Scarlett Johansson,Natasha Romanoff/Black Widow
Captain America: The Winter Soldier ,Sebastian Stan,Bucky Barnes/Winter Soldier
Captain America: The Winter Soldier ,Robert Redford,Agent Alexander Pierce
Captain America: The Winter Soldier ,Samuel L. Jackson,Nick Fury
Captain America: The Winter Soldier ,Anthony Mackie,Sam Wilson/Falcon
Captain America: The Winter Soldier ,Cobie Smulders,Agent Maria Hill
Captain America: The Winter Soldier ,Frank Grillo,Brock Rumlow
Captain America: The Winter Soldier ,Emily VanCamp,Agent 13
Captain America: The Winter Soldier ,Hayley Atwell,Peggy Carter
Thor: The Dark World,Chris Hemsworth,Thor
Thor: The Dark World,Natalie Portman,Jane Foster
Thor: The Dark World,Tom Hiddleston,Loki
Thor: The Dark World,Anthony Hopkins,Odin
Thor: The Dark World,Idris Elba,Heimdall
Thor: The Dark World,Christopher Eccleston,Malekith the Accursed
Thor: The Dark World,Jaimie Alexander,Sif
Iron Man 3,Robert Downey Jr.,Tony Stark/Iron Man
Iron Man 3,Gwyneth Paltrow,Pepper Potts
Iron Man 3,Don Cheadle,James Rhodes/War Machine
Iron Man 3,Guy Pearce,Aldrich Killian
Iron Man 3,Ben Kingsley,The Mandarin
Iron Man 3,Rebecca Hall,Dr. Maya Hansen
Iron Man 3,Stephanie Szostak,Ellen Brandt
Iron Man 3,James Badge Dale,Eric Savin
Iron Man 3,Jon Favreau,Happy Hogan
The Avengers,Tom Hiddleston,Loki
The Avengers,Robert Downey Jr.,Tony Stark/Iron Man
The Avengers,Chris Evans,Steve Rogers/Captain America
The Avengers,Mark Ruffalo,Bruce Banner/The Hulk
The Avengers,Chris Hemsworth,Thor
The Avengers,Scarlett Johansson,Natasha Romanoff/Black Widow
The Avengers,Jeremy Renner,Clint Barton/Hawkeye
The Avengers,Samuel L. Jackson,Nick Fury
The Avengers,Clark Gregg,Agent Phil Coulson
The Avengers,Cobie Smulders,Agent Maria Hill
The Avengers,Jenny Agutter,World Security Council
The Avengers,Jerzy Skolimowski,Nick Fury
The Avengers,Stellan Skarsgard,Selvig
The Avengers,Gwyneth Paltrow,Pepper Potts
The Avengers,Paul Bettany,Jarvis
Captain America: The First Avenger,Chris Evans,Steve Rogers/Captain America
Captain America: The First Avenger,Tommy Lee Jones,Chester Philips
Captain America: The First Avenger,Sebastian Stan,Bucky Barnes
Captain America: The First Avenger,Hayley Atwell,Peggy Carter
Captain America: The First Avenger,Hugo Weaving,Johann Schmidt/Red Skull
Captain America: The First Avenger,Dominic Cooper,Howard Stark
Captain America: The First Avenger,Toby Jones,Armin Zola
Captain America: The First Avenger,Neal McDonough,Dum Dum Dugan
Captain America: The First Avenger,Derek Luke,Gabe Jones
Captain America: The First Avenger,Stanley Tucci,Abraham Erskine
Thor,Chris Hemsworth,Thor
Thor,Natalie Portman,Jane Foster
Thor,Tom Hiddleston,Loki
Thor,Anthony Hopkins,Odin
Thor,Idris Elba,Heimdall
Thor,Stellan Skarsgard,Erik Selvig
Thor,Kat Dennings,Darcy Lewis
Thor,Clark Gregg,Agent Coulson
Thor,Colm Feore,King Laufey
Thor,Ray Stevenson,Volstagg
Thor,Tadanobu Asano,Hogun
Iron Man 2,Robert Downey Jr.,Tony Stark
Iron Man 2,Gwyneth Paltrow,Pepper Potts
Iron Man 2,Don Cheadle,James Rhodes/War Machine
Iron Man 2,Scarlett Johansson,Natasha Romanoff
Iron Man 2,Mickey Rourke,Ivan Vanko
The Incredible Hulk,Liv Tyler,Betty Ross
The Incredible Hulk,Tim Roth,Emil Blonsky
The Incredible Hulk,William Hurt,General Thaddeus Ross
The Incredible Hulk,Tim Blake Nelson,Samuel Sterns
The Incredible Hulk,Ty Burrell,Dr. Leonard Samson
The Incredible Hulk,Christina Cabot,Major Kathleen Sparr
The Incredible Hulk,Peter Mensah,General Sam Greller
The Incredible Hulk,Edward Norton,Bruce Banner/Hulk
Iron Man,Robert Downey Jr.,Tony Stark/Iron Man
Iron Man,Terrence Howard,Rhodey
Iron Man,Jeff Bridges,Obadiah Stane
Iron Man,Gwyneth Paltrow,Pepper Potts
